,BTC-USD,GC=F,USDBRL=X
2016-01-20,414.579987,1101.400024,4.0584
2016-01-21,410.23999,1101.099976,4.1014
2016-01-22,382.649994,1098.199951,4.1535
2016-01-24,402.130005,1097.800049,
2016-01-25,392.76001,1108.599976,4.0895
2016-01-26,389.779999,1119.800049,4.0879
2016-01-27,395.019989,1124.400024,4.0669
2016-01-28,379.690002,1115.300049,4.1049
2016-01-29,380.290009,1118.0,4.067
2016-01-31,369.839996,1117.300049,
2016-02-01,372.179993,1129.199951,3.9971
2016-02-02,373.920013,1128.0,3.9597
2016-02-03,368.019989,1142.300049,3.9853
2016-02-04,390.649994,1156.199951,3.8923
2016-02-05,386.459991,1174.099976,3.8862
2016-02-07,377.940002,1166.800049,
2016-02-08,372.630005,1191.400024,3.8985
2016-02-09,375.320007,1188.800049,3.8916
2016-02-10,381.880005,1198.5,3.8815
2016-02-11,379.450012,1242.0,3.9263
2016-02-12,384.040009,1238.5,3.9875
2016-02-14,405.5,1233.5,
2016-02-15,401.070007,1207.300049,3.9682
2016-02-16,406.420013,1203.300049,3.995
2016-02-17,417.140015,1207.099976,4.0625
2016-02-18,421.399994,1232.0,3.9809
2016-02-19,419.980011,1226.599976,4.0246
2016-02-21,437.869995,1226.199951,
2016-02-22,437.790009,1209.099976,4.0164
2016-02-23,419.899994,1231.5,3.9428
2016-02-24,422.720001,1224.0,3.9535
2016-02-25,423.480011,1235.400024,3.9544
2016-02-26,427.320007,1223.0,3.9519
2016-02-28,432.470001,1221.699951,
2016-02-29,436.209991,1241.900024,3.9647
2016-03-01,434.040009,1232.699951,4.0129
2016-03-02,425.359985,1241.900024,3.922
2016-03-03,419.559998,1261.400024,3.8893
2016-03-04,409.480011,1260.099976,3.7961
2016-03-06,405.959991,1264.5,
2016-03-07,414.869995,1268.699951,3.7688
2016-03-08,411.899994,1263.599976,3.7811
2016-03-09,412.76001,1254.400024,3.7527
2016-03-10,415.829987,1270.800049,3.6769
2016-03-11,419.109985,1251.099976,3.614
2016-03-13,412.410004,,
2016-03-14,414.309998,1236.5,3.5717
2016-03-15,415.130005,1232.0,3.655
2016-03-16,415.910004,1259.5,3.7623
2016-03-17,418.160004,1259.0,3.7366
2016-03-18,408.160004,1256.0,3.6206
2016-03-20,411.529999,1253.800049,
2016-03-21,411.109985,1243.400024,3.6211
2016-03-22,416.209991,1248.599976,3.6126
2016-03-23,416.980011,1222.099976,3.5778
2016-03-24,414.73999,1216.699951,3.6801
2016-03-27,422.209991,1213.400024,3.6835
2016-03-28,415.0,1222.599976,3.6772
2016-03-29,412.440002,1239.5,3.6349
2016-03-30,415.660004,1228.300049,3.5961
2016-03-31,415.640015,1233.199951,3.5865
2016-04-01,418.51001,1223.599976,
2016-04-03,419.329987,1221.599976,3.5486
2016-04-04,422.070007,1217.800049,3.6172
2016-04-05,421.26001,1232.199951,3.6737
2016-04-06,420.140015,1224.0,3.6364
2016-04-07,417.690002,1241.099976,3.6826
2016-04-08,418.049988,1240.099976,
2016-04-10,421.429993,1246.5,3.5862
2016-04-11,424.73999,1259.800049,3.4885
2016-04-12,423.470001,1256.599976,3.4825
2016-04-13,424.019989,1243.699951,3.4935
2016-04-14,428.670013,1230.5,3.4725
2016-04-15,430.049988,1235.800049,
2016-04-17,427.690002,1239.0,3.531
2016-04-18,434.920013,1230.699951,3.6099
2016-04-19,441.160004,1251.300049,3.5253
2016-04-20,449.339996,1246.599976,3.5244
2016-04-21,445.279999,1251.0,3.5244
2016-04-22,450.079987,1233.699951,
2016-04-24,461.730011,1234.199951,3.5623
2016-04-25,466.0,1239.800049,3.5504
2016-04-26,447.01001,1244.800049,3.5202
2016-04-27,448.480011,1247.400024,3.5215
2016-04-28,454.980011,1267.900024,3.4797
2016-04-29,448.529999,1294.900024,
2016-05-01,444.179993,1297.099976,3.4328
2016-05-02,450.269989,1291.699951,3.4965
2016-05-03,445.799988,1288.300049,3.5549
2016-05-04,448.079987,1279.900024,3.5454
2016-05-05,459.559998,,3.5331
2016-05-06,458.459991,,
2016-05-08,460.440002,,3.499
2016-05-09,449.359985,,3.513
2016-05-10,452.5,1266.5,3.4704
2016-05-11,454.429993,1279.099976,3.447
2016-05-12,455.410004,1267.699951,3.4771
2016-05-13,456.440002,1274.300049,
2016-05-15,454.869995,1275.199951,3.5302
2016-05-16,453.25,1276.599976,3.4945
2016-05-17,454.220001,1281.0,3.4861
2016-05-18,442.660004,1261.400024,3.5585
2016-05-19,442.109985,1258.0,3.5609
2016-05-20,443.640015,1252.900024,
2016-05-22,443.690002,1253.0,3.5573
2016-05-23,446.109985,1249.900024,3.5665
2016-05-24,449.779999,1225.300049,3.5673
2016-05-25,453.299988,1224.800049,3.5769
2016-05-26,474.049988,1221.699951,3.5827
2016-05-27,524.219971,1215.300049,
2016-05-29,532.26001,1209.900024,3.6089
2016-05-31,537.400024,1218.900024,3.5832
2016-06-01,537.099976,1215.199951,3.591
2016-06-02,567.030029,1210.400024,3.5801
2016-06-03,571.950012,1246.5,
2016-06-05,583.580017,1250.400024,3.5245
2016-06-06,575.580017,1246.900024,3.4845
2016-06-07,580.51001,1246.599976,3.4349
2016-06-08,574.690002,1267.800049,3.3575
2016-06-09,577.890015,1269.0,3.3959
2016-06-10,591.599976,1276.300049,
2016-06-12,700.070007,1280.699951,3.4158
2016-06-13,685.140015,1284.800049,3.4773
2016-06-14,690.77002,1288.5,3.4751
2016-06-15,761.210022,1296.800049,3.4693
2016-06-16,743.900024,1284.800049,3.4612
2016-06-17,753.77002,1301.599976,
2016-06-19,733.969971,1292.400024,3.4128
2016-06-20,667.380005,1291.099976,3.3917
2016-06-21,590.559998,1271.800049,3.4121
2016-06-22,620.840027,1265.300049,3.3743
2016-06-23,656.890015,1269.699951,3.337
2016-06-24,663.52002,1319.099976,
2016-06-26,644.659973,1336.599976,3.3677
2016-06-27,644.890015,1328.0,3.3893
2016-06-28,636.539978,1317.0,3.3025
2016-06-29,670.02002,1319.099976,3.2376
2016-06-30,674.570007,1324.400024,3.2059
2016-07-01,698.059998,1344.900024,
2016-07-03,675.159973,1345.599976,3.2306
2016-07-05,672.700012,1364.300049,3.2991
2016-07-06,635.25,1369.099976,3.327
2016-07-07,662.780029,1361.599976,3.3611
2016-07-08,651.830017,1367.400024,
2016-07-10,646.710022,1371.099976,3.2977
2016-07-11,670.559998,1355.599976,3.3072
2016-07-12,661.150024,1334.5,3.2935
2016-07-13,657.25,1346.0,3.2616
2016-07-14,664.200012,1335.400024,3.2484
2016-07-15,660.690002,1337.699951,
2016-07-17,670.380005,1333.400024,3.2766
2016-07-18,671.099976,1328.599976,3.2494
2016-07-19,664.400024,1333.099976,3.2479
2016-07-20,664.619995,1313.099976,3.2527
2016-07-21,651.109985,1332.699951,3.2686
2016-07-22,655.159973,1322.099976,
2016-07-24,654.0,1321.800049,3.2515
2016-07-25,654.380005,1316.5,3.2821
2016-07-26,654.539978,1319.0,3.27
2016-07-27,654.130005,1339.599976,3.2586
2016-07-28,655.429993,1342.300049,3.2819
2016-07-29,654.73999,1358.0,
2016-07-31,607.0,1355.699951,3.2462
2016-08-01,513.429993,1360.300049,3.2584
2016-08-02,566.440002,1370.5,3.2528
2016-08-03,576.219971,1363.5,3.2346
2016-08-04,574.659973,1366.800049,3.1869
2016-08-05,586.450012,1341.400024,
2016-08-07,589.23999,1339.300049,3.1607
2016-08-08,585.25,1342.0,3.1686
2016-08-09,590.940002,1348.300049,3.1429
2016-08-10,587.840027,1353.400024,3.1247
2016-08-11,587.140015,1345.099976,3.139
2016-08-12,584.590027,1341.699951,
2016-08-14,566.950012,1344.199951,3.1905
2016-08-15,580.190002,1346.699951,3.1848
2016-08-16,572.340027,1352.300049,3.2012
2016-08-17,573.390015,1358.099976,3.2048
2016-08-18,574.559998,1354.800049,3.2379
2016-08-19,582.609985,1345.800049,
2016-08-21,587.469971,1341.099976,3.2045
2016-08-22,583.559998,1341.5,3.1987
2016-08-23,579.659973,1342.0,3.2355
2016-08-24,577.960022,1328.400024,3.2233
2016-08-25,579.369995,1324.5,3.2283
2016-08-26,570.349976,1324.0,
2016-08-28,574.22998,1323.199951,3.2641
2016-08-29,577.320007,1326.599976,3.2276
2016-08-30,573.880005,1315.199951,3.2368
2016-08-31,571.98999,1313.199951,3.226
2016-09-01,575.289978,1317.900024,3.2532
2016-09-02,598.840027,1328.800049,
2016-09-04,605.76001,1326.599976,3.2561
2016-09-06,613.210022,1353.5,3.1963
2016-09-07,625.570007,1350.0,3.1907
2016-09-08,623.159973,1341.099976,3.2149
2016-09-09,624.52002,1331.699951,
2016-09-11,607.97998,1333.400024,3.2717
2016-09-12,608.609985,1332.800049,3.2469
2016-09-13,609.539978,1323.900024,3.3141
2016-09-14,608.109985,1326.599976,3.3435
2016-09-15,607.780029,1319.400024,3.2998
2016-09-16,607.080017,1313.099976,
2016-09-18,609.849976,1314.699951,3.2655
2016-09-19,609.23999,1317.5,3.2712
2016-09-20,597.159973,1319.099976,3.2561
2016-09-21,595.630005,1338.099976,3.2096
2016-09-22,602.919983,1340.900024,3.217
2016-09-23,602.590027,1341.099976,
2016-09-25,606.539978,1342.300049,3.2432
2016-09-26,605.469971,1340.900024,3.2406
2016-09-27,604.669983,1330.300049,3.2326
2016-09-28,604.700012,1326.900024,3.2178
2016-09-29,608.140015,1325.099976,3.2593
2016-09-30,613.409973,1318.800049,
2016-10-02,611.599976,1319.199951,3.2598
2016-10-03,608.960022,1314.699951,3.2087
2016-10-04,611.820007,1271.699951,3.2545
2016-10-05,610.969971,1271.400024,3.2185
2016-10-06,616.030029,1256.199951,3.2272
2016-10-07,617.650024,1258.599976,
2016-10-09,617.289978,1262.0,3.2193
2016-10-11,635.98999,1256.599976,3.1959
2016-10-12,635.599976,1255.800049,3.2007
2016-10-13,637.919983,1258.400024,3.1773
2016-10-14,637.030029,1251.699951,
2016-10-16,637.369995,1252.900024,3.202
2016-10-17,635.340027,1256.300049,3.2042
2016-10-18,629.059998,1263.599976,3.1817
2016-10-19,628.340027,1270.800049,3.1661
2016-10-20,630.450012,1266.199951,3.1391
2016-10-21,655.47998,1267.0,
2016-10-23,650.48999,1267.099976,3.1489
2016-10-24,651.0,1263.599976,3.1245
2016-10-25,674.669983,1275.0,3.1104
2016-10-26,682.299988,1267.199951,3.1388
2016-10-27,686.23999,1270.400024,3.1653
2016-10-28,714.950012,1276.800049,
2016-10-30,,1279.400024,
2016-10-31,698.669983,1277.199951,3.2031
2016-11-01,726.76001,1289.300049,3.1982
2016-11-02,733.51001,1299.0,3.2351
2016-11-03,684.869995,1303.099976,3.2526
2016-11-04,702.080017,1305.800049,3.2584
2016-11-06,709.909973,1289.599976,
2016-11-07,705.400024,1283.300049,3.2323
2016-11-08,710.900024,1273.400024,3.2009
2016-11-09,721.419983,1275.5,3.1681
2016-11-10,714.570007,1260.400024,3.233
2016-11-13,701.969971,1228.800049,
2016-11-14,704.559998,1222.800049,3.39
2016-11-15,711.099976,1226.800049,3.4403
2016-11-16,740.280029,1226.599976,3.4417
2016-11-17,737.530029,1214.5,3.4507
2016-11-18,746.960022,1208.0,3.4324
2016-11-20,728.51001,1206.0,
2016-11-21,736.190002,1215.800049,3.3823
2016-11-22,749.340027,1212.599976,3.3874
2016-11-23,741.070007,1189.199951,3.3636
2016-11-25,740.390015,1178.400024,3.3907
2016-11-27,729.419983,1186.300049,
2016-11-28,733.299988,1197.099976,3.421
2016-11-29,732.559998,1190.599976,3.4072
2016-11-30,742.48999,1174.0,3.4538
2016-12-01,752.630005,1175.599976,3.4063
2016-12-02,770.940002,1179.0,3.573
2016-12-04,766.390015,1182.300049,
2016-12-05,754.340027,1172.0,3.4747
2016-12-06,758.210022,1171.300049,3.42
2016-12-07,765.559998,1177.0,3.4063
2016-12-08,768.48999,1172.400024,3.3816
2016-12-09,770.47998,1161.400024,3.3737
2016-12-11,767.909973,1159.5,
2016-12-12,778.469971,1164.800049,3.377
2016-12-13,778.73999,1160.300049,3.3373
2016-12-14,776.5,1144.900024,3.3342
2016-12-15,775.210022,1130.199951,3.369
2016-12-16,782.049988,1136.900024,3.3657
2016-12-18,789.01001,1138.300049,
2016-12-19,789.789978,1140.400024,3.3904
2016-12-20,799.099976,1133.699951,3.3639
2016-12-21,829.210022,1132.800049,3.3531
2016-12-22,860.150024,1130.199951,3.3254
2016-12-23,917.169983,1134.699951,3.2863
2016-12-25,891.070007,,
